B4,B3,B2,B1,B0,D1,D0,U3,U2,U1,U0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,1,1
0,0,1,0,0,0,0,0,1,0,0
0,0,1,0,1,0,0,0,1,0,1
0,0,1,1,0,0,0,0,1,1,0
0,0,1,1,1,0,0,0,1,1,1
0,1,0,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,1,0,0,1
0,1,0,1,0,0,1,0,0,0,0
0,1,0,1,1,0,1,0,0,0,1
0,1,1,0,0,0,1,0,0,1,0
0,1,1,0,1,0,1,0,0,1,1
0,1,1,1,0,0,1,0,1,0,0
0,1,1,1,1,0,1,0,1,0,1
1,0,0,0,0,0,1,0,1,1,0
1,0,0,0,1,0,1,0,1,1,1
1,0,0,1,0,0,1,1,0,0,0
1,0,0,1,1,0,1,1,0,0,1
1,0,1,0,0,1,0,0,0,0,0
1,0,1,0,1,1,0,0,0,0,1
1,0,1,1,0,1,0,0,0,1,0
1,0,1,1,1,1,0,0,0,1,1
1,1,0,0,0,1,0,0,1,0,0
1,1,0,0,1,1,0,0,1,0,1
1,1,0,1,0,1,0,0,1,1,0
1,1,0,1,1,1,0,0,1,1,1
1,1,1,0,0,1,0,1,0,0,0
1,1,1,0,1,1,0,1,0,0,1
1,1,1,1,0,1,1,0,0,0,0
1,1,1,1,1,1,1,0,0,0,1
